食物名稱,五性
榴槤,熱性
朝天椒,熱性
辣椒,熱性
山葵,熱性
白胡椒,熱性
黑胡椒,熱性
洋蔥,熱性
肉桂,熱性
八角,熱性
葡萄酒,熱性
川七,溫性
山蘇,溫性
包心芥菜,溫性
明日葉,溫性
韭菜,溫性
韭菜花,溫性
紫蘇,溫性
雪裡紅,溫性
袖珍菇,溫性
鮑魚菇,溫性
黑豆芽,溫性
棗子,溫性
桃子,溫性
楊梅,溫性
水蜜桃,溫性
紅棗,溫性
荔枝,溫性
龍眼,溫性
櫻桃,溫性
石榴,溫性
紅毛丹,溫性
鴨梨,溫性
金桔,溫性
金棗,溫性
白鳳豆,溫性
扁豆,溫性
松子,溫性
栗子,溫性
核桃,溫性
雪蓮子,溫性
高粱,溫性
燕麥,溫性
西谷米,溫性
糯米,溫性
牛肉,溫性
羊肉,溫性
雞肉,溫性
火腿,溫性
羊肚,溫性
羊腎,溫性
雞心,溫性
豬肚,溫性
豬肝,溫性
鵝肝,溫性
羊奶,溫性
雞蛋黃,溫性
白帶魚,溫性
草魚,溫性
鱔魚,溫性
鯽魚,溫性
鰱魚,溫性
海參,溫性
蝦子,溫性
蝦米,溫性
龍蝦,溫性
沙拉油,溫性
麻油,溫性
豬油,溫性
紅砂糖,溫性
黑糖,溫性
麥芽糖,溫性
醋,溫性
薑,溫性
蔥,溫性
蔥頭,溫性
蒜,溫性
紅花,溫性
小荳蔻,溫性
荳蔻,溫性
薑黃,溫性
羅勒,溫性
芫荽,溫性
香椿,溫性
左手香,溫性
丁香,溫性
百里香,溫性
茴香菜,溫性
艾葉,溫性
月桂葉,溫性
巴西利,溫性
迷迭香,溫性
玫瑰,溫性
茉莉,溫性
香茅,溫性
桂花,溫性
紅茶,溫性
咖啡,溫性
米酒,溫性
酒釀,溫性
山芹菜,平性
甘藍,平性
芥藍,平性
高麗菜,平性
青江菜,平性
青椒,平性
花柳菜,平性
萵苣,平性
蘿蔔嬰,平性
木耳,平性
白木耳,平性
黑木耳,平性
杏鮑菇,平性
香菇（平涼）,平性
雞腿菇,平性
舞茸,平性
黃豆芽,平性
苜蓿芽,平性
南瓜（溫平）,平性
玉米筍,平性
甜椒,平性
燕窩,平性
木瓜,平性
梅子,平性
芭樂（溫平）,平性
番茄（平涼）,平性
桑椹（平涼）,平性
李子,平性
鳳梨,平性
葡萄,平性
藍莓,平性
芒果,平性
菠蘿蜜,平性
釋迦,平性
火龍果,平性
無花果,平性
覆盆子,平性
柿餅,平性
楊桃（平涼）,平性
橄欖,平性
檸檬,平性
萊姆,平性
蘋果,平性
蓮霧,平性
米豆,平性
毛豆,平性
菜豆,平性
花生,平性
花豆,平性
豌豆,平性
紅豆,平性
黑豆,平性
黃豆,平性
納豆,平性
蠶豆,平性
豆鼓,平性
豆薯,平性
杏仁,平性
玉米,平性
粳米,平性
糙米,平性
南瓜子,平性
葵瓜子,平性
四季豆,平性
皇帝豆,平性
亞麻子,平性
蓮子,平性
腰果,平性
芝麻,平性
紅蘿蔔（溫平）,平性
馬鈴薯,平性
番薯,平性
山藥,平性
芋頭,平性
芡實,平性
牛奶,平性
雞蛋,平性
鵪鶉蛋,平性
比目魚,平性
沙丁魚,平性
秋刀魚,平性
黃魚,平性
鯖魚,平性
鮪魚,平性
鮭魚,平性
鯊魚,平性
鯛魚,平性
鰻魚,平性
鱈魚,平性
鯉魚,平性
鱸魚,平性
白鯧,平性
海蜇皮,平性
黑鯧,平性
七星斑,平性
石斑,平性
干貝,平性
海膽,平性
烏賊,平性
魷魚,平性
鮑魚,平性
虱目魚,平性
老鼠斑,平性
花生油,平性
白砂糖,平性
冰糖,平性
蜂蜜,平性
奶油,平性
乳酪,平性
薰衣草,平性
可可,平性
優酪乳,平性
牛奶,平性
A 菜,涼性
小麥草,涼性
大陸妹,涼性
大頭菜,涼性
白鳳菜,涼性
枸杞葉,涼性
芥菜,涼性
芹菜,涼性
油菜,涼性
秋葵,涼性
紅鳳菜,涼性
紅莧菜,涼性
莧菜,涼性
菠菜,涼性
酸菜,涼性
番薯葉,涼性
洋菇,涼性
黃瓜,涼性
冬瓜,涼性
胡瓜,涼性
絲瓜,涼性
茄子,涼性
小黃瓜,涼性
佛手瓜,涼性
海帶,涼性
髮菜,涼性
草莓,涼性
海梨柑,涼性
枇杷,涼性
梨子,涼性
柳丁,涼性
橘子,涼性
椪柑,涼性
豆腐,涼性
大麥,涼性
小麥,涼性
小麥胚芽,涼性
菱角,涼性
白蘿蔔,涼性
蘿蔔,涼性
牛蒡,涼性
蓮藕,涼性
百合,涼性
豬皮,涼性
田雞,涼性
羊肝,涼性
雞蛋白,涼性
皮蛋,涼性
鴨蛋,涼性
鹹鴨蛋,涼性
牡蠣,涼性
太白粉,涼性
生用油品（香油,涼性
麻油,涼性
茶油）,涼性
魚腥草,涼性
薄荷,涼性
綠茶,涼性
豆漿,涼性
大白菜,寒性
山茼蒿,寒性
豆芽菜,寒性
空心菜,寒性
西洋芹,寒性
過貓,寒性
龍鬚菜,寒性
金針菇,寒性
草菇,寒性
苦瓜,寒性
山苦瓜,寒性
紫菜,寒性
海藻,寒性
昆布,寒性
黃豆芽,寒性
番茄,寒性
山竹,寒性
小玉瓜,寒性
西瓜,寒性
哈密瓜,寒性
洋香瓜,寒性
美濃瓜,寒性
百香果,寒性
香蕉,寒性
椰子,寒性
文旦,寒性
柚子,寒性
柿子,寒性
甘蔗,寒性
奇異果,寒性
西洋梨,寒性
聖女番茄,寒性
葡萄柚,寒性
綠豆,寒性
小米,寒性
竹筍,寒性
筊白筍,寒性
麻竹筍,寒性
蘆筍,寒性
鴨肉,寒性
鴨血,寒性
烏魚,寒性
章魚,寒性
鰹魚,寒性
蛤蜊,寒性
大閘蟹,寒性
花蟹,寒性
螃蟹,寒性
蜆,寒性
海蜇皮,寒性
醬油,寒性
鹽,寒性
